strat_name,year,stock,reason
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 6, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '60', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 8}, 'Operator': 'AND'}]}",2010,Abbott India,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 12, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PBT CAGR', 'id': 11}, 'period': 10, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2006,Ambuja Cements,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 12, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PBT CAGR', 'id': 11}, 'period': 10, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2007,Jindal Saw,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 12, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PBT CAGR', 'id': 11}, 'period': 10, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2014,Alok Industries,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 12, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PBT CAGR', 'id': 11}, 'period': 10, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2015,MRF,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2006,Ambuja Cements,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2007,Jindal Saw,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2007,Plethico Pharma.,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2014,Alok Industries,Missing MCap - excluded from ranking
